caldt,vwretd,vwretx,ewretd,ewretx,sprtrn
31-03-99,0.038979,0.037774,0.021855,0.020209,0.038794
30-04-99,0.037559,0.036771,0.096934,0.09596,0.037944
28-05-99,-0.023159,-0.024833,-0.001112,-0.003032,-0.02497
30-06-99,0.054431,0.053398,0.041249,0.039867,0.054438
30-07-99,-0.03022,-0.031084,-0.034555,-0.035454,-0.032046
31-08-99,-0.004989,-0.006251,-0.022216,-0.023947,-0.006254
30-09-99,-0.028079,-0.029257,-0.039403,-0.040891,-0.028552
29-10-99,0.064238,0.063512,0.03097,0.029995,0.062539
30-11-99,0.020822,0.019547,-0.001732,-0.003641,0.019062
31-12-99,0.062579,0.061549,0.044205,0.042538,0.057844
31-01-00,-0.049606,-0.050273,-0.057249,-0.058164,-0.050904
29-02-00,-0.017459,-0.018667,-0.045099,-0.047119,-0.020108
31-03-00,0.098492,0.097434,0.109941,0.107996,0.09672
28-04-00,-0.031585,-0.032308,0.008073,0.007029,-0.030796
31-05-00,-0.022304,-0.023617,0.016657,0.014376,-0.021915
30-06-00,0.026219,0.025497,-0.019605,-0.021009,0.023934
31-07-00,-0.012795,-0.013559,0.003866,0.002818,-0.016341
31-08-00,0.062594,0.061275,0.074144,0.071748,0.060699
29-09-00,-0.052088,-0.052795,-0.013813,-0.015103,-0.053483
31-10-00,-0.00412,-0.004829,0.021097,0.020159,-0.004949
30-11-00,-0.078268,-0.079557,-0.045453,-0.047623,-0.080069
29-12-00,0.00572,0.004861,0.066751,0.065496,0.004053
31-01-01,0.032375,0.031555,0.053414,0.052623,0.034637
28-02-01,-0.090952,-0.092131,-0.044749,-0.046467,-0.092291
30-03-01,-0.063706,-0.064587,-0.049836,-0.051024,-0.064205
30-04-01,0.077825,0.076981,0.084729,0.084,0.076814
31-05-01,0.00687,0.00533,0.017687,0.015861,0.00509
29-06-01,-0.024506,-0.025183,-0.015805,-0.016825,-0.025004
31-07-01,-0.009317,-0.010248,-0.00918,-0.009915,-0.010772
31-08-01,-0.063435,-0.064933,-0.043659,-0.045377,-0.064108
28-09-01,-0.080361,-0.081352,-0.124472,-0.125526,-0.081723
31-10-01,0.01954,0.018546,0.042117,0.041315,0.018099
30-11-01,0.078787,0.077259,0.102273,0.100571,0.075176
31-12-01,0.009051,0.007849,0.030572,0.029262,0.007574
31-01-02,-0.014324,-0.01532,-0.002527,-0.003289,-0.015574
28-02-02,-0.019481,-0.020973,-0.011293,-0.012721,-0.020766
28-03-02,0.037572,0.03669,0.067365,0.066228,0.036739
30-04-02,-0.061001,-0.061826,-0.036342,-0.036988,-0.061418
31-05-02,-0.0078,-0.009438,-0.012256,-0.013828,-0.009081
